BlockNumber,StreetName,Street_Address,helper,State,City
2100.0,"MICHIE DR, 35B","2100 MICHIE DR, 35B",keep,Virginia,Charlottesville
600.0,10 1/2 ST NW,600 10 1/2 ST NW,keep,Virginia,Charlottesville
200.0,2ND ST NW,200 2ND ST NW,keep,Virginia,Charlottesville
1100.0,E MARKET ST,1100 E MARKET ST,keep,Virginia,Charlottesville
500.0,W MAIN ST,500 W MAIN ST,keep,Virginia,Charlottesville
700.0,"MONTICELLO AVE, C","700 MONTICELLO AVE, C",keep,Virginia,Charlottesville
1200.0,AVON ST,1200 AVON ST,keep,Virginia,Charlottesville
400.0,E MARKET ST,400 E MARKET ST,keep,Virginia,Charlottesville
1200.0,EMMET ST N,1200 EMMET ST N,keep,Virginia,Charlottesville
900.0,E MARKET ST,900 E MARKET ST,keep,Virginia,Charlottesville
300.0,CHESTNUT ST,300 CHESTNUT ST,keep,Virginia,Charlottesville
200.0,GARRETT ST,200 GARRETT ST,keep,Virginia,Charlottesville
200.0,W MAIN ST,200 W MAIN ST,keep,Virginia,Charlottesville
700.0,E WATER ST,700 E WATER ST,keep,Virginia,Charlottesville
900.0,PRESTON AVE,900 PRESTON AVE,keep,Virginia,Charlottesville
300.0,250 BYPASS,300 250 BYPASS,keep,Virginia,Charlottesville
100.0,10TH ST NW,100 10TH ST NW,keep,Virginia,Charlottesville
1100.0,KENSINGTON AVE,1100 KENSINGTON AVE,keep,Virginia,Charlottesville
1600.0,YORKTOWN DR,1600 YORKTOWN DR,keep,Virginia,Charlottesville
100.0,"LANKFORD AVE, 5","100 LANKFORD AVE, 5",keep,Virginia,Charlottesville
300.0,"UNIVERSITY CIR, 202","300 UNIVERSITY CIR, 202",keep,Virginia,Charlottesville
2100.0,ANGUS RD,2100 ANGUS RD,keep,Virginia,Charlottesville
800.0,RAINIER RD,800 RAINIER RD,keep,Virginia,Charlottesville
1000.0,WERTLAND ST,1000 WERTLAND ST,keep,Virginia,Charlottesville
300.0,PRESTON AVE,300 PRESTON AVE,keep,Virginia,Charlottesville
300.0,OLD LYNCHBURG RD,300 OLD LYNCHBURG RD,keep,Virginia,Charlottesville
100.0,W MARKET ST,100 W MARKET ST,keep,Virginia,Charlottesville
1900.0,"CEDAR HILL RD, B","1900 CEDAR HILL RD, B",keep,Virginia,Charlottesville
300.0,15TH ST NW,300 15TH ST NW,keep,Virginia,Charlottesville
500.0,"S 1ST ST, 213","500 S 1ST ST, 213",keep,Virginia,Charlottesville
,<UNKNOWN>,<UNKNOWN>,drop,Virginia,Charlottesville
1300.0,CARLTON AVE,1300 CARLTON AVE,keep,Virginia,Charlottesville
600.0,"MASON ST, A1","600 MASON ST, A1",keep,Virginia,Charlottesville
2000.0,MEADOWBROOK RD,2000 MEADOWBROOK RD,keep,Virginia,Charlottesville
,RAMP @ EMMET ST,RAMP @ EMMET ST,drop,Virginia,Charlottesville
700.0,ORANGEDALE AVE,700 ORANGEDALE AVE,keep,Virginia,Charlottesville
300.0,RIVERSIDE AVE,300 RIVERSIDE AVE,keep,Virginia,Charlottesville
1000.0,PRESTON AVE,1000 PRESTON AVE,keep,Virginia,Charlottesville
1000.0,"E MARKET ST, 1-6","1000 E MARKET ST, 1-6",keep,Virginia,Charlottesville
